output,input,instruction
"Bleb-related endophthalmitis is a medical emergency. If left untreated, It may lead to corneal infiltration, retinal toxicity, corneal perforation, retinal detachment, and panophthalmits that may require enucleation. 
Complications to bleb resalted endophthalmitis include:
Corneal perforation Corneal edema Persistence intraocular inflammation Cataract Hypotony Residdual vitreous opacity
Despite intensive topical, systemic, and intravitreal antibiotics in combination with vitrectomy. Bleb-related endophthalmitis is associated with a poor ​visual outcome.  Bleb-related endophthalmitis caused by moraxella and coagulase negative staphylococcus is associated with more favorable outcomes compared with those caused by streptococcus.",What is the connection between blebs and endophthalmitis?,Answer this question truthfully
"Patients who show early signs of multiple organ failure (renal failure, disseminated intravascular coagulation, alterations in the level of consciousness, and shock) or evidence of acute cholangitis, as well as those who do not respond to conservative treatment, should receive systemic antibiotics and undergo emergent biliary drainage. Unless early and appropriate biliary drainage is performed and systemic antibiotics are administered, death will occur. The prognosis is usually good with treatment but poor without treatment.","What is the explanation for cholangitis, including its natural progression, potential complications, and prognosis?",Answer this question truthfully
"Subcutaneous injections are given by injecting a fluid or a solid pellet into the subcutis. It is used to administer a variety of medical treatments. Subcutaneous injections of fluid are used to administer vaccines and medications. A pellet may be injected to deliver long-lasting doses of medication such as goserelin. Subcutaneous injections provide slow and constant absorption and are one of the parenteral routes of administration.
10.8mg implant syringe for subcutaneous use A typical injection site post-implant. The entry wound and pellet ejection bruise can clearly be seen here",Could you provide me with the existing sentence so that I can give you an appropriate rephrased version?,Answer this question truthfully
"Apparitional experience Delusional disorder Monothematic delusions Jerusalem syndrome Clinical Lycanthropy Soteria Hallucinations in the sane
According to the DSM, psychosis can be a symptom of mental illness, but it is not a mental illness in its own right. For example, people with schizophrenia often experience psychosis, but so can people with bipolar disorder (manic depression), unipolar depression, delirium, or drug withdrawal.   People diagnosed with these conditions can also have long periods without psychosis. Conversely, psychosis can occur in people who do not have chronic mental illness (e.g. due to an adverse drug reaction or extreme stress). 
Psychosis should be distinguished from insanity, which is a legal term denoting that a person is not criminally responsible for his or her actions. 
Psychosis should be distinguished from psychopathy, a personality disorder associated with violence, lack of empathy and socially manipulative behavior.  Despite both being colloquially abbreviated ""psycho"", psychosis bears little similarity to the core features of psychopathy, particularly with regard to violence, which rarely occurs in psychosis,   and distorted perception of reality, which rarely occurs in psychopathy. 
Psychosis should also be distinguished from delirium. A psychotic individual may be able to perform actions that require a high level of intellectual effort in clear consciousness, whereas a delirious individual will have impaired memory and cognitive function.
Psychosis should further be distinguished from neurosyphilis, which presents as hallucinations, delusions, auditory hallucinations, and flat or blunted affect and emotion, poverty of speech (alogia), anhedonia, and lack of motivation.",What are the possible diagnoses for psychosis?,Answer this question truthfully
"Reperfusion injury, also known as ischemia-reperfusion injury (IRI) or re-oxygenation injury, is the tissue damage which results from the restoration of blood supply to the tissue after a period of ischemia, anoxia or hypoxia from different pathologies. During the period of absence of blood to the tissues a condition is created in which the resulting reperfusion will result in inflammation and oxidative damage through the involvement of various mechanisms mainly involving oxidation, free radical formation and complement activation which ultimately leads to cell death, rather than restoration of normal function. Various intracellular or extracellular changes during ischemia leads to increased intracellular calcium and ATP depletion that will ultimately land up in the cell death if the ongoing process does not stopped. Reperfusion forms reactive oxygen species. This leads to Increased mitochondrial pore permeability, complement activation & cytochrome release, inflammation and edema formation, Neutrophil platelet adhesion and thrombosis leading to progressive tissue death. In Heart reperfusion injury is attributed to oxidative stress which in turn leads to arrhythmias, Infarction and Myocardial stunning. In case of trauma the resulting restoration of blood flow to the tissue after prolonged ischemia aggravates tissue damage by either directly causing additional injury or by unmasking the injury sustained during the ischemic period. Reperfusion injury can occur in any organ of body mainly seen in the heart, intestine, kidney, lung, and muscle, and is due to microvascular damage.",What is the meaning of reperfusion injury?,Answer this question truthfully
"The estimated prevalence of Alagille syndrome is 1 in every 70,000 live births.",Can you provide an overview of Alagille syndrome?,Answer this question truthfully
"Prolactinoma is the most common type of pituitary adenoma. Prolactinoma may occur in approximately 30% of multiple endocrine neoplasia type 1 patients. It may also occur with Carney complex or McCune-Albright syndrome. Prolactinoma is also associated with various familial syndromes for example MEN1 syndrome. There have been familial cases of prolactinoma unrelated to MEN 1 syndrome as well. On gross pathology, prolactinoma is divided on the basis of size into microprolactinoma and macroprolactinoma. On histological analysis, prolactinoma may be divided into sparsely granulated and densely granulated.",What is the explanation for the occurrence of Prolactinoma and what is its pathophysiology?,Answer this question truthfully
"Effective measures for the primary prevention of back pain include, improved posture, proper lifting techniques of heavy objects, avoiding trauma, balanced diet, active lifestyle, stress management, avoid smoking.",What is the primary method of preventing back pain?,Answer this question truthfully
"Both cystic echinococcosis and alveolar echinococcosis are complicated to treat, sometimes requiring extensive surgery and/or prolonged drug therapy. There are 3 options for the treatment of cystic echinococcosis: anti-infective drug treatment, percutaneous treatment of the hydatid cysts with the PAIR (Puncture, Aspiration, Injection, Re-aspiration) technique and surgery.
Surgery for echinococcosis is indicated if the cyst is non-echoic and greater than 5 cm in diameter (CE1m and l), contains daughter cysts (CE2), and/or is associated with the detachment of membranes (CE3), consists of multiple cysts that are accessible to be punctured, are infected or in the patients who fail to respond to chemotherapy alone. Puncture, aspiration, injection and re-aspiration, also known as the PAIR protocol, is utilized for the surgical treatment of echinococcal cysts.
Effective measures for the primary prevention of echinococcosis include discouraging feeding of raw offal to work dogs, employing basic hygiene practices like thoroughly cooking food and vigorous hand washing before meals and regular ""worming"" of farm dogs with the praziquantel also helps kill the tapeworm. 
Secondary preventive measures of echinococcosis are similar as of primary preventive measures.",Could you provide an overview of Echinococcosis?,Answer this question truthfully
Biopsy of the tumor tissue is diagnostic of salivary gland tumor.   Histopathological findings on biopsy can be found here.,What does a fine-needle aspiration biopsy (FNAB) of a salivary gland tumor involve?,Answer this question truthfully
"The following medical therapies have been studied for the treatment of extramammary Paget's disease:    
5-fluorouracil Imiquimod Combination of paclitaxel and trastuzumab
Medication Mechanism of action Dosage Imiquimod These agents modulate key factors of the immune system Imiquimod is a immune response modifier with an unknown mechanism of action Imiquimod 5% cream is applied 3 times weekly for 16 weeks. Fluorouracil These agents inhibit cell growth and proliferation Fluorouracil interferes with DNA synthesis by blocking methylation of deoxyuridylic acid via inhibition of thymidylate synthetase and, eventually, cell proliferation. It is used topically Paclitaxel Paclitaxel's mechanism of action involves interference with the normal breakdown of microtubules during cell division Trastuzumab Trastuzumab is a recombinant monoclonal antibody against human epidermal growth factor receptor 2 (HER2). It is effective when tumor cells overexpress HER2 protein.",What medical treatment is recommended for extramammary Paget's disease?,Answer this question truthfully
There are no established measures for the primary prevention of paroxysmal AV Block.,What is the primary way to prevent paroxysmal AV block?,Answer this question truthfully
"It exists in two isotypes, IgA1 (90%) and IgA2 (10%):
IgA1 is found in serum and made by bone marrow B cells. In IgA2, the heavy and light chains are not linked with disulfide but with noncovalent bonds. IgA2 is made by B cells located in the mucosae and has been found to secrete into colostrum, maternal milk, tears and saliva.
It is also possible to distinguish forms of IgA based upon their location - serum IgA vs. secretory IgA.
IgA is found in secretions in a specific form called secretory IgA', polymers of 2-4 IgA monomers linked by two additional chains. One of these is the J chain (joining chain), which is a polypeptide of molecular mass 1.5 kD, rich with cysteine and structurally completely different from other immunoglobulin chains. This chain is formed in the IgA-secreting cells.
The oligomeric forms of IgA in the external (mucosal) secretions also contain a polypeptide of a much larger molecular mass (70 kD) called the secretory component that is produced by epithelial cells. This molecule originates from the poly-Ig receptor (130 kD) that is responsible for the uptake and transcellular transport of oligomeric (but not monomeric) IgA across the epithelial cells and into secretions such as tears, saliva, sweat and gut fluid.",What exactly is Immunoglobulin A?,Answer this question truthfully
Ultrasound is somewhat insensitive in making the diagnosis of PVD.,What is an ultrasound for peripheral arterial disease?,Answer this question truthfully
Betoptic® Betoptic S®,Could you please provide me with the context for this question? This sentence seems to be in proper English already.,Answer this question truthfully
"The first line treatment for anorexia is usually focused on immediate weight gain, especially with those who have particularly serious conditions that require hospitalization. In particularly serious cases, this may be done as an involuntary hospital treatment under mental health law, where such legislation exists. In the majority of cases, however, people with anorexia are treated as outpatients, with input from physicians, psychiatrists, clinical psychologists and other mental health professionals.
A recent clinical review has suggested that psychotherapy is an effective form of treatment and can lead to restoration of weight, return of menses among female patients, and improved psychological and social functioning when compared to simple support or education programmes.  However, this review also noted that there are only a small number of randomised controlled trials on which to base this recommendation, and no specific type of psychotherapy seems to show any overall advantage when compared to other types. Family therapy has also been found to be an effective treatment for adolescents with anorexia  and in particular, a method developed at the Maudsley Hospital is widely used and found to maintain improvement over time. 
It is important to note that many recovering underweight people often harbour a hateful dislike for those who they feel to be robbing them of their treasured emaciation. Often when well-meaning friends or relatives compliment the recoveree on how much healthier they look, the recoveree's mind replaces ""healthy"" with ""fat"".
Drug treatments, such as SSRI or other antidepressant medication, have not been found to be generally effective for either treating anorexia,  or preventing relapse  although it has also been noted that there is a lack of adequate research in this area. It is common, however, for antidepressants to be prescribed, often with the intent of trying to treat the associated anxiety and depression.
Supplementation with 14mg/day of zinc is recommended as routine treatment for anorexia nervosa due to a study showing a doubling of weight regain after treatment with zinc was begun. The mechanism of action is hypothesized to be an increased effectiveness of neurotransmission in various parts of the brain, including the amygdala, after adequate zinc intake begins resulting in increased appetite. 
There are various non-profit and community groups that offer support and advice to people who have anorexia, or are the carer of someone who does. Several are listed in the links below and may provide useful information for those wanting more information or help on treatment and medical care.",What is the recommended medical treatment for anorexia nervosa?,Answer this question truthfully
"The outcome depends on the type and cause of hemolytic anemia.
Drug-induced hemolytic anemia: The prognosis of this type of anemia is typically favorable if the offending agent is discontinued. Cold agglutinin disease: This has a generally good prognosis. Patients typically survive for many years. In the case of an associated lymphoma, the prognosis can be much worse depending the type of lymphoma.","What are the natural progression, outlook, and potential adverse outcomes of Hemolytic anemia?",Answer this question truthfully
"Transposition of the great arteries TGA is one of the commonest cyanotic congenital heart defects present in the first 24 hours of life.  The overall annual incidence of TGA is 20-30 per 100,000 live births. TGA represents 5-7% of all congenital heart disease and 20% of cyanotic disease.",What are the epidemiological and demographic characteristics of transposition of the great vessels?,Answer this question truthfully
CFIDS Association of America U.S. Centers for Disease Control and Prevention,"What is the definition of chronic fatigue syndrome, and where can I gather more information regarding it?",Answer this question truthfully
"Internal hemorrhoids can be viewed only using the anoscope or the flexible sigmoidoscope. Hemorrhoids appear as bulging bluish masses above the dentate line. If there are accompanying constitutional symptoms (e.g. weight loss), colonoscopy should be done to exclude colon cancer.
{{#ev:youtube|lPRKWRBiPsQ}}",What are the other diagnostic tests or examinations for hemorrhoids?,Answer this question truthfully
"The exact pathogenesis of splenic marginal zone lymphoma (SMZL) is not clearly understood but according to some studies chronic immunologic stimulation and certain gene mutations are assumed to be involved. The common chromosomal aberrations and genetic mutations in splenic marginal zone lymphoma (SMZL) includes 7q32 deletion, gain of function mutation in 3q and NOTCH2, TP53, KLF2 gene mutations. These genes control certain cell regulation pathways that are involved in normal functioning of the cell. Hepatitis C viral antigen has also been assumed to be involved in its pathogenesis. Spleen, bone marrow, lymph nodes, liver and blood may be infiltrated with the tumor and have certain distintive features. On microscopic histopathological analysis, B-cells, villous lymphocytes, and sinus invasion are characteristic findings of splenic marginal zone lymphoma (SMZL).",Could you provide me with the current text so that I can rephrase it into proper English?,Answer this question truthfully
"Rett syndrome is a disorder of the nervous system that leads to developmental reversals, especially in the areas of expressive language and hand use.",What information is currently available about Rett syndrome?,Answer this question truthfully
"CT Clear cell ovarian carcinoma:  Large unilocular, mainly cystic, smooth marginated mass with lumen protruding solid portion and high-attenuated cystic portion.
CT ovarian mucinous cystadenocarcinoma: High attenuation in some loculi due to the high protein content of the mucoid material CT ovarian serous cystadenocarcinoma: Calcification is detected in approximately 12% of tumors on CT but is non-specific as calcification can also be seen in benign serous tumors and other neoplasms. CT can be used for preoperative staging to look for lymphadenopathy, peritoneal, and distant metastases.",What can a CT scan detect in cases of tumors found in the epithelial tissue of the ovaries?,Answer this question truthfully
"Complications that can develop as a result of acute liver failure are:           
Cerebral edema Encephalopathy Coagulopathy Renal failure Renal failure Systemic inflammatory response Metabolic derrangements Pulmonary complications","What are the natural history, complications, and prognosis of acute liver failure?",Answer this question truthfully
"Schwannomas have fairly predictable signal characteristics      :
T1: isointense or hypointense T1 C+ (Gd): intense enhancement T2: heterogeneously hyperintense (Antoni A: relatively low, Antoni B: high) cystic degenerative areas may be present, especially in larger tumors T2*: larger tumors often have areas of hemosiderin
A number of signs can also be useful:
split-fat sign: thin peripheral rim of fat best seen on planes along long axis of the lesion in non-fat-suppressed sequences target sign peripheral high T2 signal central low signal rarely seen intracranially 7 fascicular sign: multiple small ring-like structures",What role does MRI have in the diagnosis of Schwannoma?,Answer this question truthfully
"Rectovaginal fistulae are often the result of trauma during childbirth (in which case it is known as obstetric fistula) in situations where there is inadequate health care, such as in some poor third world countries. Rates in Eritrea are estimated as high as 350 per 100,000 vaginal births. Fistulas can also develop in women and children who are raped; women with rectovaginal fistulae are often stigmatized in third world countries, and become outcasts.
Women in the West suffer similarly, mainly due to the fact that most people do not take the condition seriously. As such, discussing the disorder publicly is not something that many women feel they can do.
Rectovaginal fistulae can also be symptoms of various diseases, including infection by Lymphogranuloma venereum, or the unintended result of surgery, such as episiotomy or sexual reassignment surgery. They may present as a complication of vaginal surgery, including vaginal hysterectomy. They are a recognized presentation of rectal carcinoma or rarely diverticular disease of the bowel or Crohn's disease. They are seen rarely after radiotherapy treatment for cervical cancer.",What is a rectovaginal fistula?,Answer this question truthfully
"Hodgkin's lymphoma (patient information) Non-Hodgkin lymphoma (patient information) B-cell lymphoma (patient information) T-cell lymphoma (patient information)
Template:WH Template:WS",What information is available about Extranodal NK-T cell lymphoma?,Answer this question truthfully
There are no established causes for small cell lymphoma.,What is meant by small cell lymphoma?,Answer this question truthfully
"Ultrasound in the neuroblastoma shows heterogeneous solid masses due to vascular, necrotic and calcified content of the masses. When it is present in the adrenal, it displaces the kidneys inferiorly.",Which imaging technique is better suited for identifying neuroblastoma: echocardiography or ultrasound?,Answer this question truthfully
"Monoethanolamine oleate (properly ethanolammonium oleate) is an antivaricose agent. It is a salt formed by Lowry-Brønsted acid-base reaction between monoethanolamine and oleic acid, is systematically named 2-hydroxyethylammonium (9 Z)-octadecenoate, and has a structural formula CH 3 (CH 2) 7 CH=CH(CH 2) 7 CO 2H 3 NCH 2 CH 2 OH. It is injected topically into varicosities to cause sclerosis (closure) of the abnormal vein.
Template:Vasoprotectives
Template:Cardiovascular-drug-stub","What exactly does the term ""monoethanolamine oleate"" mean?",Answer this question truthfully
"The existence and effects of estrogen were established from 1923 to 1938 in which the formulation was led by a group of scientists instead of pharmaceutical companies. Thereafter, the market for hormonal drug research opened up.
The “first orally effective estrogen”, Emmenin, derived from the late-pregnancy urine of Canadian women, was introduced in 1930 by Collip and Ayerst Laboratories. Estrogens are not water-soluble and cannot be given orally, but the urine was found to contain estriol glucuronide which is water soluble and becomes active in the body after hydrolization.
Scientists continued to search for new sources of estrogen because of concerns associated with the practicality of introducing the drug into the market. At the same time, a German pharmaceutical drug company, formulated a similar product as Emmenin that was introduced to German women to treat menopausal symptoms.
In 1938, British scientists obtained a patent on a newly formulated nonsteroidal estrogen, Diethylstilbestrol (DES), that was cheaper and more powerful than the previously manufactured estrogens. Soon after, concerns over the side effects of DES were raised in scientific journals while the drug manufacturers came together to lobby for governmental approval of DES. It was only until 1941 when estrogen therapy was finally approved by the Food and Drug Administration (FDA) for the treatment of menopausal symptoms.",In what way has estrogen played a role in history?,Answer this question truthfully
"Good syndrome is a rare acquired combined T- and B-cell immunodeficiency associated with thymoma.  It can present with intractable opportunistic infections, lichen planus and therapy resistant secretory diarrhea.   Laboratory examination results indicate hypogammaglobulinemia and complete absence or decrease in the proportion of cells bearing B cells markers.",What are the phenocopies associated with primary immunodeficiency?,Answer this question truthfully
"Mycosis fangoides must be differentiated from any diseases with cutaneous patch or plaque that not respond to first- and second-line treatment ssuch as: Sezaruy syndrome Sezaruy syndrome is more symptoI contrast to patch or plaque MF, SS is much more symptomatic. Sezary syndrome patients tend to present with diffuse skin involvement,not like mycosis fungoides usually evolve through patches and plaques to erythroderma Sezaruy syndrome In Sezary syndrome infiltration of skin is generally much less dense than plaque in mycosis fungoides (MF) Eczema Adult T cell leukemia/lymphma Psoriasis Pityriasis rubra pilaris dermatitis Hypereosinophilic syndrome Adult T-cell leukemia Atopic dermatitis Contact dermatitis (Allergic, irritant) Chronic actinic dermatitis Scabies Subcutaneous panniculitis like T cell lymphoma (SPTCL) Drug eruption Graft versus host disease Lichen planus Pediatric atopic dermatitis Tinea corporis Primary cutaneous anaplastic large cell lymphoma (ALCL) Cutaneous gamma/delta T cell lymphoma (G/D TCL)",What does the term cutaneous T-cell lymphoma mean?,Answer this question truthfully
"There is no way to prevent hypoparathyroidism. If the patient will have a surgery involving neck or face, be alert for signs and symptoms indicating hypoparathyroidism.","What is hypoparathyroidism, and what information is currently accessible on this condition?",Answer this question truthfully
"Many of the long-term sequelae of hemophilia are either related to the morbidity of severe bleeds, or from side effects of frequent transfusions
Recurrent episodes of hemarthroses can cause arthritis and eventual destruction of the joint space, bones and cartilages. Frequent transfusions have resulted in high profile cases of hemophiliacs becoming infected with blood-borne viruses (i.e. HIV and Hepatitis C). This issue was became very important to the extent that some decades ago, the leading cause of death among Hemophilia patients was AIDS and liver failure due to hepatitis. With improved screening of blood products, the risks of these infections is substantially reduced.  Spontaneous intracranial hemorrhage, although rare, is considered a medical emergency that can occur as a complication of hemophilia. Most important iatrogenic complication of Hemophilia is development of inhibitor antibodies against factor VIII or IX concentrates which are prescribed for prophylaxis and treatment. The development of these inhibitors is reported much more frequently in Hemophilia A rather than B  .","What is the natural progression of hemophilia, including its complications and prognosis?",Answer this question truthfully
"Much clinical use of statins reflects marketting rather than the practice of evidenced based medicine. In Quebec by 2003 Atorvastatin had 44% of the market share while simvastatin had 29.9%. In contrast up to the previous year simvastatin had 133,341 of RCT patient-years of follow-up compared to 1457 for atorvastatin .
Rosuvastatin is the most potent inhibitor of HMG-CoA reductase on the UK market. The best evidence base in primary and secondary prevention relates to simvastatin and atorvastatin and as can be seen by the potency chart simvastatin 40mg has similar potency to atorvastatin 10-20mg in lowering LDL cholestrol from a meta-analysis of randomised controlled trials done by Law et al. . Fluvastatin and pravastatin have lower potency. Pravastatin (a natural product) has less potential for interactions with other drugs.Interestingly the relative difference in potency is less in long term studies (greater than 12 weeks) and perhaps this explains the epidemiological observation that mortality and morbidity benefit is not as clearly drug dependant as is the reduction in cholesterol predicted from short term studies.
Although it is too soon to assume that all the benefits of statins are due to their actions on cholesterol metabolism alone and on atheroma, the pooled studies have shown on meta-analysis ,  that the reduction in major vascular events is proportional to the reduction in LDL cholesterol levels at 1 year. In contrast population studies of secondary prevention in those over 65 years and long term follow up of RCTs have shown no evidence suggesting better outcome with one statin over another  so the issue of which statin is best in the major populations at risk remains unclear.
Template:KeyPointsBox Recent clinical trials have shown that high dose atorvastatin (80mg) has benefit with selected outcomes after certain acute ischaemic event presentations but the overall marginal benefits against the higher expected toxicity of this dose are unclear as the patient populations in the clinical trials are unrepresentative of usual British populations considered for secondary prevention. Analysis of the raw data from high dose statin trials in acute coronary syndrome has suggested benefit relative to standard statins is restricted to American, and absent in European participants offered aggressive early intervention strategies . High dose atorvastatin after stroke or TIA reduces the incidence of strokes and of cardiovascular events but at 5 year follow up has no mortality benefit and a higher incidence of non fatal haemorrhagic stroke.  In patients over 65 years enrolled in the TNT trial while primary events in those on 80mg compared to 10mg atorvastatin were reduced absolutely by 2.3% :
There was a non significant 0.6% increase in death at the higher dose due to non-cardiovascular mortality Treatment-related adverse events were 8.3% on 80mg atrovastatin and 5.2% on 10mg atrovastatin.
.
There is evidence that simvastatin but not atorvastatin or lovastatin is associated with a reduced incidence of dementia and Parkinson's disease .
The only fair clinical trial evidence exists for simvatsatin and low dose atorvastatin. There was no peer reviewed evidence for harm for this swap  although a study from the UK GP database as reported in a press release from the manufacturer of atorvastatin raises concerns . For maximium objective effectiveness you might want to give simvastatin at night . Although fluvastatin has a good safety profile and clinical evidence base, the transfer from another statin to fluvastatin might best be done only when strong clinical indications exist. This recommendation is based on a higher incidence of significant cardiovascular presentations when use of fluvastatin was encouraged by pricing mechanisms in New Zealand, possibly because non equivalent doses were substituted .",What information is currently available regarding statins?,Answer this question truthfully
"Probe position: from the parasternal long axis, move the probe apically and then angulate medically Echo/Diagram: view the right atrium, tricuspid valve, and right ventricle septal and anterior leaflets of tricuspid valve are visible appreciate entrance of coronary sinus entering the right atrium note the crista terminalis: muscular ridge running from the superior to inferior vena cava, dividing the RA",What are the standard views and measurements used in transthoracic echocardiography protocol?,Answer this question truthfully
"Inguinal hernia must be differentiated testicular torsion, epididymitis, hydrocele, varicocele, spermatocele, epididymal cyst and testicular tumor.",What is an inguinal hernia?,Answer this question truthfully
"Thymic malignancies are relatively rare in the range of 0.2% to 1.5% of all malignancies or 0.13 per 100,000 person-years in the United States Thymic malignancies are among the most common mediastinal primary tumors with up to 50% of anterior mediastinal masses proving to be of thymic descent. Invasive thymomas and thymic carcinomas are relatively rare tumors, which together represent about 0.2% to 1.5% of all malignancies.  Thymic carcinoma are rare and have been reported to account for only 0.06% of all thymic neoplasms.
The risk of thymic carcinoma increases with age.  Thymic carcinoma is uncommon in children, it is seen more often in middle-aged adults. Thymic carcinoma commonly affects individuals between 40-60 years of age.
Males have a slightly higher risk of developing thymic malignancies than females, and the risk rises with age, reaching a peak in the seventh decade of life, which is in direct contrast to the progressive involution of the thymus with age. Males are more commonly affected with thymic carcinoma than females. The male to female ratio is approximately 3 to 1.
It is more common in Asians and African Americans than in Caucasians.",What is the study of the distribution and determinants of thymic carcinoma?,Answer this question truthfully
"Pancreatic cancer must be distinguished from other pancreatobiliary pathologies that cause abdominal pain and jaundice such as acute suppurative cholangitis, acute cholecystitis, cholelithiasis, chronic pancreatitis, primary biliary cirrhosis and primary sclerosing cholangitis. Pancreatic cancer must also be differentiated from other pancreatic pathologies such as autoimmune pancreatitis, pancreatic pseudocyst, and neuroendocrine tumors of the pancreas. Pathologies of the bile duct and duodenum such as Choledocholithiasis, gallstones (cholelithiasis), choledochal cysts, Cholangiocarcinoma, Bile duct strictures and ampullary cancer should be differentiated from pancreatic cancer based on imaging and biopsy findings. Metastasis from different sites and vascular causes such as abdominal aortic aneurysms may also mimic pancreatic cancer.",Could you please provide me with the already written sentence for me to provide a rephrased version of it?,Answer this question truthfully
"The QRS amplitute (i.e. the sum of the postive and negative parts) in the limb leads does not exceed 0.5 mV (5 mm) OR is no more than 1.0 mV (1 cm) in the chest leads.
Cardiomyopathy, especially infiltrative cardiomyopathy, such as in amyloidosis Increased resistance between the heart and the electrodes: pneumothorax, obesity, pericardial fluid / tamponade, pleural effusion Myocarditis / pericarditis Heart tranplantation, especially during acute or chronic rejection Wrong settings on the ECG apparatus (sensitivity should be at 10 mm/mV)",What are the QRS axis and voltage?,Answer this question truthfully
"The radiologic appearance of TAPVC varies according to the site of abnormal venous drainage and whether the flow is obstructed.  The structure in which the anomalous vein terminates appears dilated; termination at the level of the coronary sinus, superior vena cava, or azygos vein leads to dilatation of that structure and produces characteristic abnormalities in the imaging appearance. Computed tomography (CT) can be used as a diagnostic modality in congenital heart diseases.
{{#ev:youtube|lBGy-vhzvpU}} {{#ev:youtube|ZkGHTzTZiQ8}}
Provides additional anatomic details compared to echocardiography It is done faster compared to MRI, thus avoiding the need for anesthesia in small children.
Costly Radiation can have long terms side-effect on growing children.",What is the CT diagnosis for anomalous connection of the pulmonary veins?,Answer this question truthfully
"Pharyngitis is one of the most common disorders in adults and children, with more than 10 million ambulatories visits per year. Group A streptococcus is by far the most common bacterial cause of acute pharyngitis, accounting for approximately 15 to 30 percent of cases in children and 5 to 10 percent of cases in adults. Peak seasons for a sore throat include late winter and early spring. Transmission of typical viral and Group A streptococcus (GAS) pharyngitis occurs mostly by hand contact with nasal discharge, rather than by oral contact.",What is the explanation for the epidemiology and demographics of Pharyngitis?,Answer this question truthfully
Erythrasma was first discovered by Burchardt in 1859. Corynebacterium minitissium was first isolated and discovered to be the cause of Erythrasma in 1961.,What is the historical background and explanation of Erythrasma?,Answer this question truthfully
"If left untreated, it may lead to serious complications such as thyroid storm, life threatening arrhythmias, orbitopathies, weight loss and even osteoporosis. The clinical features of Graves' disease generally worsen without treatment, the mortality from Graves' disease was 10–30% before the introduction of satisfactory therapy. Some patients with mild Graves’ disease experience spontaneous relapses and remissions.
Older patients are more vulnerable to develop cardiovascular complications compared to younger patients.  When compared with people older than 60 years with a healthy thyroid, those who are hyperthyroid have three times the risk of atrial fibrillation.  Embolic stroke related to atrial fibrillation secondary to hyperthyroidism is significantly more prevalent than embolic stroke related to atrial fibrillation from non-thyroidal causes.  AF is considered as an independent risk factor for CHF in patients with Graves' disease. 
Cardiac manifestations of Graves' disease include palpitations, anginal chest pain, exercise intolerance, atrial fibrillation, exertional dyspnea, cardiac hypertrophy, systolic hypertension, peripheral edema, hyperdynamic precordium, pulmonary hypertension and heart failure. 
There is a shift of potassium into the muscle cells. 
It is characterized by the triad of muscle paralysis, acute hypokalemia and thyrotoxicosis.
The clinical course of ophthalmopathy does not follow that of the thyroid disease. Ophthalmopathy typically worsens over the initial 3–6 months, followed by a plateau phase over the next 12–18 months, with spontaneous improvement.  The earliest manifestations of ophthalmopathy are usually a sensation of grittiness, eye discomfort, and excess tearing. Approximately one third of patients have proptosis. Proptosis can be measured using an exophthalmometer. In severe cases, proptosis may cause corneal exposure and damage, especially if the lids fail to close during sleep. Periorbital edema, scleral injection, and chemosis are also frequent. In 5–10% of patients, the muscle swelling is so severe that diplopia results. The most serious manifestation is compression of the optic nerve at the apex of the orbit, leading to papilledema, peripheral field defects, and permanent loss of vision if left untreated. 
It occurs in <5% of patients with Graves’ disease. The typical lesion is a noninflamed, indurated plaque with a deep pink or purple color and an orange skin appearance. Nodular involvement can occur and the condition can rarely extend over the whole lower leg and foot, mimicking elephantiasis. Thyroid acropachy refers to a form of clubbing found in <1% of patients with Graves’ disease. 

Thyroid crisis is a life threatening exacerbation of hyperthyroidism, manifested by fever, delirium, seizures, coma, vomiting, diarrhea, and jaundice. The mortality rate due to cardiac failure, arrhythmia, or hyperthermia is as high as 30%, even with treatment. Thyrotoxic crisis is usually precipitated by acute illness (e.g., stroke, infection, trauma, diabetic ketoacidosis), surgery (especially on the thyroid), or radioiodine treatment of a patient with partially treated or untreated hyperthyroidism.
The overall prognosis with treatment is good.","What are the natural history, prognosis, and complications associated with Graves' disease?",Answer this question truthfully
"Temperature does not have so dramatic effect as the previous factors, but hyperthermia causes a rightward shift, while hypothermia causes a leftward shift.",What does the oxygen-hemoglobin dissociation curve refer to?,Answer this question truthfully
